iter	Passed	Remaining
1346	41928	20326
1347	41961	20295
1348	41992	20264
1349	42026	20234
1350	42056	20203
1351	42088	20172
1352	42119	20141
1353	42149	20109
1354	42182	20079
1355	42214	20048
1356	42249	20019
1357	42281	19988
1358	42310	19956
1359	42341	19925
1360	42373	19894
1361	42406	19864
1362	42438	19833
1363	42470	19803
1364	42503	19772
1365	42535	19741
1366	42567	19711
1367	42598	19679
1368	42628	19648
1369	42659	19617
1370	42690	19586
1371	42722	19555
1372	42751	19523
1373	42783	19492
1374	42814	19460
1375	42846	19430
1376	42876	19398
1377	42908	19368
1378	42940	19337
1379	42973	19306
1380	43005	19275
1381	43036	19244
1382	43067	19213
1383	43097	19182
1384	43131	19152
1385	43162	19121
1386	43195	19090
1387	43225	19058
1388	43256	19028
1389	43287	18996
1390	43319	18965
1391	43352	18935
1392	43384	18904
1393	43415	18873
1394	43447	18842
1395	43476	18810
1396	43510	18780
1397	43543	18750
1398	43577	18720
1399	43612	18690
1400	43643	18659
1401	43676	18629
1402	43708	18598
1403	43739	18567
1404	43772	18537
1405	43805	18506
1406	43836	18475
1407	43868	18444
1408	43900	18413
1409	43931	18382
1410	43963	18351
1411	43995	18321
1412	44031	18291
1413	44064	18261
1414	44096	18230
1415	44127	18199
1416	44159	18168
1417	44190	18137
1418	44222	18106
1419	44255	18076
1420	44286	18044
1421	44317	18013
1422	44348	17982
1423	44379	17951
1424	44411	17920
1425	44442	17889
1426	44475	17858
1427	44506	17827
1428	44537	17796
1429	44570	17765
1430	44600	17734
1431	44634	17704
1432	44668	17674
1433	44703	17644
1434	44738	17614
1435	44769	17583
1436	44802	17553
1437	44834	17522
1438	44865	17490
1439	44897	17460
1440	44931	17430
1441	44965	17399
1442	44997	17368
1443	45029	17338
1444	45060	17306
1445	45091	17275
1446	45125	17245
1447	45158	17215
1448	45191	17184
1449	45224	17154
1450	45256	17123
1451	45288	17092
1452	45320	17061
1453	45352	17030
1454	45386	17000
1455	45418	16969
1456	45450	16938
1457	45480	16907
1458	45514	16876
1459	45548	16846
1460	45579	16815
1461	45614	16785
1462	45645	16754
1463	45675	16722
1464	45705	16691
1465	45736	16659
1466	45767	16628
1467	45800	16597
1468	45833	16567
1469	45866	16536
1470	45898	16506
1471	45933	16476
1472	45966	16445
1473	45998	16414
1474	46032	16384
1475	46066	16354
1476	46099	16323
1477	46133	16293
1478	46164	16262
1479	46196	16231
1480	46226	16199
1481	46258	16168
1482	46297	16140
1483	46330	16109
1484	46363	16079
1485	46395	16048
1486	46429	16017
1487	46461	15986
1488	46492	15955
1489	46525	15924
1490	46558	15894
1491	46589	15862
1492	46621	15832
1493	46652	15800
1494	46684	15769
1495	46716	15738
1496	46749	15708
1497	46781	15677
1498	46814	15646
1499	46845	15615
1500	46877	15584
1501	46909	15553
1502	46942	15522
1503	46975	15491
1504	47008	15461
1505	47040	15430
1506	47072	15399
1507	47102	15367
1508	47133	15336
1509	47163	15304
1510	47195	15273
1511	47228	15243
1512	47260	15212
1513	47292	15180
1514	47323	15149
1515	47356	15119
1516	47389	15088
1517	47423	15058
1518	47456	15027
1519	47488	14996
1520	47519	14965
1521	47551	14933
1522	47581	14902
1523	47615	14871
1524	47648	14841
1525	47680	14810
1526	47712	14779
1527	47743	14747
1528	47776	14717
1529	47809	14686
1530	47840	14655
1531	47874	14624
1532	47907	14594
1533	47940	14563
1534	47971	14532
1535	48002	14500
1536	48033	14469
1537	48064	14438
1538	48097	14407
1539	48129	14376
1540	48164	14346
1541	48195	14314
1542	48226	14283
1543	48258	14252
1544	48290	14221
1545	48323	14190
1546	48354	14159
1547	48386	14128
1548	48419	14097
1549	48451	14066
1550	48482	14035
1551	48515	14004
1552	48547	13973
1553	48580	13942
1554	48612	13911
1555	48644	13880
1556	48676	13849
1557	48708	13818
1558	48738	13786
1559	48771	13756
1560	48803	13724
1561	48836	13694
1562	48868	13663
1563	48902	13632
1564	48932	13601
1565	48968	13571
1566	49003	13540
1567	49035	13509
1568	49067	13478
1569	49097	13447
1570	49128	13415
1571	49162	13385
1572	49195	13354
1573	49228	13323
1574	49261	13292
1575	49293	13261
1576	49327	13231
1577	49358	13199
1578	49390	13168
1579	49422	13137
1580	49456	13107
1581	49490	13076
1582	49522	13045
1583	49552	13013
1584	49584	12982
1585	49616	12951
1586	49647	12920
1587	49678	12888
1588	49710	12857
1589	49743	12826
1590	49775	12795
1591	49807	12764
1592	49839	12733
1593	49870	12702
1594	49903	12671
1595	49936	12640
1596	49967	12609
1597	49999	12578
1598	50031	12546
1599	50061	12515
1600	50093	12484
1601	50128	12453
1602	50160	12422
1603	50194	12392
1604	50227	12361
1605	50260	12330
1606	50292	12299
1607	50325	12268
1608	50357	12237
1609	50389	12206
1610	50419	12174
1611	50451	12143
1612	50483	12112
1613	50515	12081
1614	50548	12050
1615	50580	12019
1616	50612	11987
1617	50644	11956
1618	50676	11925
1619	50708	11894
1620	50739	11863
1621	50772	11832
1622	50805	11801
1623	50836	11770
1624	50866	11738
1625	50898	11707
1626	50931	11676
1627	50962	11644
1628	50995	11614
1629	51030	11583
1630	51061	11552
1631	51094	11521
1632	51127	11490
1633	51160	11459
1634	51194	11428
1635	51235	11399
1636	51270	11369
1637	51306	11338
1638	51340	11308
1639	51373	11277
1640	51406	11246
1641	51440	11215
1642	51473	11184
1643	51507	11153
1644	51538	11122
1645	51570	11091
1646	51603	11060
1647	51634	11028
1648	51665	10997
1649	51695	10965
1650	51727	10934
1651	51757	10902
1652	51789	10871
1653	51821	10840
1654	51853	10809
1655	51885	10778
1656	51917	10747
1657	51950	10715
1658	51984	10685
1659	52017	10654
1660	52048	10622
1661	52080	10591
